FineGrainedBlock
1;2015-10-05;13:41:35;;;0;01:33:00;
30;1;20
0.0;0.0

a1
A1_0p25kNs;sa1;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
45;100;100;14:39:38:531;1.82;0.66
46;100;100;14:39:38:661;1.89;0.72
47;100;100;14:39:38:706;1.81;0.73
48;100;100;14:39:38:761;1.76;0.77
49;100;100;14:39:38:956;1.84;0.82
50;100;100;14:39:39:016;1.82;0.84
51;100;100;14:39:39:056;1.82;0.87
52;100;100;14:39:39:141;1.83;0.92
53;100;100;14:39:39:316;2.01;0.97
54;100;100;14:39:39:331;2.01;0.97
55;100;100;14:39:39:506;2.19;1.02
56;100;100;14:39:39:636;2.30;1.05
57;100;100;14:39:39:791;2.38;1.07
58;100;100;14:39:39:941;2.54;1.10
59;100;100;14:39:40:236;2.60;1.12
60;100;100;14:39:40:246;2.53;1.12
61;100;100;14:39:40:546;2.61;1.15
62;100;100;14:39:40:846;2.74;1.16
63;100;100;14:39:40:891;2.88;1.16
64;100;100;14:39:41:151;2.73;1.17
65;100;100;14:39:41:256;2.79;1.17
66;100;100;14:39:41:456;2.72;1.18
67;100;100;14:39:41:756;2.84;1.18
68;100;100;14:39:42:056;2.90;1.19
69;100;100;14:39:42:356;2.93;1.19
70;100;100;14:39:42:656;3.02;1.19
71;100;100;14:39:42:956;2.89;1.20
72;100;100;14:39:43:256;2.92;1.20
73;100;100;14:39:43:556;2.81;1.20
74;100;100;14:39:43:856;2.95;1.20
75;100;100;14:39:44:156;2.85;1.21
76;100;100;14:39:44:456;2.99;1.21
77;100;100;14:39:44:756;3.00;1.22
78;100;100;14:39:45:051;2.93;1.22
79;100;100;14:39:45:061;3.08;1.22
80;100;100;14:39:45:361;3.06;1.23
81;100;100;14:39:45:661;3.08;1.23
82;100;100;14:39:45:961;3.02;1.24
83;100;100;14:39:46:261;3.13;1.24
84;100;100;14:39:46:561;3.17;1.24
85;100;100;14:39:46:861;3.24;1.25
86;100;100;14:39:47:161;3.35;1.26
87;100;100;14:39:47:461;3.31;1.26
88;100;100;14:39:47:761;3.42;1.27
89;100;100;14:39:48:061;3.25;1.27
90;100;100;14:39:48:251;3.18;1.27
91;100;100;14:39:48:366;3.31;1.28
92;100;100;14:39:48:666;3.41;1.28
93;100;100;14:39:48:966;3.46;1.29
94;100;100;14:39:49:266;3.39;1.30
95;100;100;14:39:49:506;2.64;1.32
96;100;100;14:39:49:571;2.43;1.36
97;100;100;14:39:49:631;2.39;1.38
98;100;100;14:39:49:736;2.57;1.43
99;100;100;14:39:49:861;2.96;1.48
100;100;100;14:39:49:886;2.85;1.49
101;100;100;14:39:49:981;2.87;1.53
102;100;100;14:39:50:146;2.93;1.58
103;100;100;14:39:50:196;2.79;1.61
104;100;100;14:39:50:271;2.93;1.63
105;100;100;14:39:50:406;2.85;1.69
106;100;100;14:39:50:506;2.78;1.73
107;100;100;14:39:50:511;2.78;1.74
108;100;100;14:39:50:641;2.97;1.79
109;100;100;14:39:50:776;3.02;1.84
110;100;100;14:39:50:821;2.99;1.86
111;100;100;14:39:50:876;3.07;1.89
112;100;100;14:39:51:031;3.10;1.94

a7
A7_0pkNs;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;14:45:49:781;1.35;0.00
2;100;100;14:45:49:913;1.33;0.00
3;100;100;14:45:50:213;1.56;0.00
4;100;100;14:45:50:513;1.47;0.00
5;100;100;14:45:50:813;1.45;0.00
6;100;100;14:45:51:113;1.48;0.00
7;100;100;14:45:51:413;1.42;0.00
8;100;100;14:45:51:713;1.64;0.00
9;100;100;14:45:52:013;1.53;0.00
10;100;100;14:45:52:313;1.76;0.00
11;100;100;14:45:52:613;1.66;0.00
12;100;100;14:45:52:913;1.52;0.00
13;100;100;14:45:53:213;1.63;0.00
14;100;100;14:45:53:513;1.62;0.01
15;100;100;14:45:53:813;1.80;0.02
16;100;100;14:45:54:113;1.78;0.02
17;100;100;14:45:54:413;1.77;0.03
18;100;100;14:45:54:713;1.83;0.05
19;100;100;14:45:54:763;1.77;0.05
20;100;100;14:45:55:018;1.83;0.07
21;100;100;14:45:55:318;1.92;0.08
