CoarseGrainedBlock
1;2015-11-12;09:22:57;;;27;05:57:00;
30;1;20
0.0;0.0

c2
Cplane_A60_3_II;sc3ii;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
4;100;100;14:22:14:181;2.29;0.00
5;100;100;14:22:16:630;2.02;0.05
6;100;100;14:22:17:080;2.26;0.11
7;100;100;14:22:17:281;1.91;0.14
8;100;100;14:22:17:380;2.36;0.17
9;100;100;14:22:17:730;2.23;0.23
10;100;100;14:22:17:980;2.39;0.29
11;100;100;14:22:18:181;2.29;0.35
12;100;100;14:22:18:380;1.84;0.41
13;100;100;14:22:18:580;2.13;0.48
14;100;100;14:22:18:781;2.19;0.54
15;100;100;14:22:18:931;1.94;0.60
16;100;100;14:22:19:080;2.38;0.65
17;100;100;14:22:19:230;1.83;0.72
18;100;100;14:22:19:380;2.24;0.77
19;100;100;14:22:19:531;2.25;0.83
20;100;100;14:22:19:830;2.36;0.88
21;100;100;14:22:19:931;2.84;0.90
22;100;100;14:22:20:080;2.56;0.94
23;100;100;14:22:20:531;3.06;0.99
24;100;100;14:22:20:880;3.00;1.04
25;100;100;14:22:21:130;3.14;1.07
26;100;100;14:22:21:480;2.89;1.09
27;100;100;14:22:21:880;2.75;1.15
28;100;100;14:22:22:380;2.85;1.20
29;100;100;14:22:22:931;3.08;1.25
30;100;100;14:22:23:380;2.31;1.31
31;100;100;14:22:23:531;2.78;1.37
32;100;100;14:22:23:781;3.29;1.43

b7
B7;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;14:41:43:456;1.56;0.00
2;100;100;14:41:45:728;1.78;0.00
3;100;100;14:41:48:728;2.10;0.00
4;100;100;14:41:50:578;2.01;0.05
5;100;100;14:41:51:328;2.18;0.11
6;100;100;14:41:51:778;2.01;0.16
7;100;100;14:41:51:878;1.87;0.18
8;100;100;14:41:52:078;2.07;0.21
9;100;100;14:41:52:428;2.09;0.27
10;100;100;14:41:52:678;2.26;0.32
11;100;100;14:41:52:878;2.13;0.37
12;100;100;14:41:53:128;1.89;0.43
13;100;100;14:41:53:378;2.02;0.49
14;100;100;14:41:53:528;2.02;0.55
15;100;100;14:41:53:728;2.05;0.60
16;100;100;14:41:53:928;2.22;0.67
17;100;100;14:41:54:128;1.91;0.75
18;100;100;14:41:54:328;2.26;0.81
19;100;100;14:41:54:478;1.81;0.87
20;100;100;14:41:54:628;2.04;0.93
21;100;100;14:41:54:778;2.03;0.99
22;100;100;14:41:54:978;2.30;1.06
23;100;100;14:41:55:128;2.31;1.11
24;100;100;14:41:55:378;2.48;1.17
25;100;100;14:41:55:578;2.80;1.22
26;100;100;14:41:55:778;2.63;1.26
27;100;100;14:41:55:978;2.78;1.28
28;100;100;14:41:56:228;3.02;1.32
29;100;100;14:41:56:278;2.84;1.33
30;100;100;14:41:56:778;2.84;1.38
31;100;100;14:41:57:128;2.40;1.44
32;100;100;14:41:57:278;2.46;1.50
33;100;100;14:41:57:428;2.29;1.56
34;100;100;14:41:57:578;2.58;1.62
35;100;100;14:41:57:778;2.54;1.69
36;100;100;14:41:57:928;2.67;1.75
37;100;5001;14:41:58:078;3.01;1.78

b8
B8;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;14:47:30:418;1.81;0.00
2;100;100;14:47:32:662;1.98;0.00
3;100;100;14:47:34:962;2.24;0.05
4;100;100;14:47:35:662;2.13;0.11
5;100;100;14:47:35:762;2.00;0.12
6;100;100;14:47:36:112;1.91;0.16
7;100;100;14:47:36:412;1.91;0.21
8;100;100;14:47:36:762;1.84;0.27
9;100;100;14:47:37:012;2.11;0.33
10;100;100;14:47:37:262;2.18;0.38
11;100;100;14:47:37:462;1.91;0.44
12;100;100;14:47:37:662;2.16;0.49
13;100;100;14:47:37:812;1.78;0.55
14;100;100;14:47:38:012;2.01;0.61
15;100;100;14:47:38:162;1.92;0.66
